391;節;JOINT ・ INTERVAL ・ SEASON OF THE YEAR
392;筋;MUSCLE ・ THREADLIKE STRUCTURE
393;等;EQUAL ・ CLASS
394;均;EQUAL
395;季;SEASON
396;委;COMMIT
397;穴;HOLE
398;空;SKY ・ AIR ・ EMPTY
399;友;FRIEND
400;有;HAVE
401;左;LEFT
402;右;RIGHT
403;石;STONE
404;若;YOUNG
405;苦;SUFFERING ・ BITTER
406;在;BE
407;存;EXIST
408;干;DRY
409;刊;PUBLISH
410;汗;SWEAT
411;竿;POLE
412;利;ADVANTAGE ・ PROFIT
413;害;HARM
414;益;BENEFIT
415;溢;SPILL OVER
416;割;DIVIDE
417;憲;CONSTITUTION
418;羽;FEATHER ・ WING
419;翌;THE FOLLOWING
420;習;LEARN ・ CUSTOM
421;弓;BOW
422;引;DRAW ・ REDUCE
423;強;STRONG
424;弱;WEAK
425;風;WIND ・ MANNER
426;己;ONESELF
427;記;WRITE DOWN
428;紀;ERA ・ DISCIPLINE
429;改;REFORM
430;起;RISE
431;姓;SURNAME
432;由;REASON
433;油;OIL
434;井;WELL
435;囲;ENCLOSE
436;丼;BOWL
437;丁;TOWN SUBSECTION ・ MISCELLANEOUS COUNTER
438;寧;COURTEOUS
439;町;TOWN
440;灯;LAMP
441;庁;GOVERNMENT AGENCY
442;貯;STORE UP
443;易;EASY ・ EXCHANGE ・ FORTUNETELLING
444;賜;DEIGN TO GIVE
445;場;PLACE
446;湯;HOT WATER
447;門;GATE
448;間;SPACE IN BETWEEN
449;閉;CLOSE
450;開;OPEN
451;関;CONNECT WITH ・ BARRIER
452;問;QUESTION
453;聞;HEAR
454;訪;VISIT
455;送;SEND
456;券;TICKET ・ CERTIFICATE
457;包;WRAP ・ ENCOMPASS
458;巻;ROLL UP ・ VOLUME
459;圏;SPHERE
460;勝;WIN ・ EXCEL
461;戦;WAR
462;単;SINGLE
463;簡;SIMPLE
464;過;PASS BY ・ EXCEED
465;骨;BONE
466;昼;DAYTIME
467;夜;NIGHT
468;液;LIQUID
469;戒;CAUTION
470;幾;HOW MANY ・ SOME
471;畿;CAPITAL REGION
472;磯;ROCKY BEACH
473;機;MACHINE ・ AIRCRAFT ・ OPPORTUNITY
474;械;MECHANICAL CONTRIVANCE
475;飛;FLY
476;氏;FAMILY ・ COURTESY TITLE
477;民;PEOPLE
478;紙;PAPER
479;低;LOW
480;抵;RESIST
481;邸;STATELY RESIDENCE
482;底;BOTTOM
483;巨;GIANT
484;臣;RETAINER
485;基;BASE
486;期;TERM ・ EXPECT
487;毛;HAIR
488;尾;TAIL
489;育;RAISE
490;羊;SHEEP
491;洋;OCEAN ・ WESTERN
492;魚;FISH
493;鮮;FRESH ・ VIVID
494;蘇;REVIVE
495;詳;DETAILED
496;祥;AUSPICIOUS
497;美;BEAUTIFUL
498;業;WORK ・ BUSINESS ・ INDUSTRY
499;実;REAL ・ FRUIT
500;養;FOSTER
501;様;MODE ・ FORMAL TITLE
502;企;SCHEME
503;曲;MUSICAL COMPOSITION ・ CURVE
504;典;STANDARD WORK ・ CANON
505;興;RISE TO PROSPERITY ・ AMUSEMENT
506;輿;PALANQUIN
507;竜;DRAGON
508;滝;WATERFALL
509;籠;BASKET
510;辰;THE DRAGON
511;農;FARMING
512;濃;THICK
513;豊;ABUNDANT
514;吉;LUCKY
515;詰;STUFF ・ REPRIMAND
516;結;TIE ・ CONCLUDE
517;投;THROW ・ SEND IN
518;役;SERVICE
519;没;SINK
520;設;SET UP
521;段;STEP
522;殺;KILL
523;刹;TEMPLE
524;刈;CLIP
525;絵;PICTURE
526;給;SUPPLY ・ PAY
527;巴;CIRCULAR COMMA PATTERN
528;色;COLOR ・ EROS
529;声;VOICE
530;眉;EYEBROW
531;里;VILLAGE ・ LEAGUE
532;理;REASON ・ BASIC PRINCIPLE ・ MANAGE
533;埋;BURY
534;野;FIELD ・ WILD
535;黒;BLACK
536;墨;INDIA INK
537;童;CHILD
538;量;QUANTITY
539;重;HEAVY ・ PILE ON TOP OF
540;動;MOVE
541;働;WORK
542;労;LABOR
543;協;COOPERATE
544;種;VARIETY ・ SEED
545;亜;SUB- ・ PHONETIC [A]
546;悪;BAD
547;要;IMPORTANT ・ SUMMARIZE ・ REQUIRE
548;価;PRICE ・ VALUE
549;必;WITHOUT FAIL
550;証;PROVE ・ CERTIFICATE
551;歪;DISTORT
552;否;SAY NO ・ OR NOT
553;処;DEAL WITH
554;拠;GROUNDS
555;計;PLAN ・ COMPUTE
556;針;NEEDLE
557;総;WHOLE ・ GENERAL
558;窓;WINDOW
559;矢;ARROW
560;知;KNOW
561;医;MEDICINE ・ DOCTOR
562;短;SHORT
563;失;LOSE ・ SLIP
564;鉄;IRON
565;夫;HUSBAND ・ MAN LABORER
566;朱;VERMILION
567;株;STOCK
568;族;FAMILY
569;旅;TRAVEL
570;遊;PLAY ・ TOUR
571;施;EXECUTE ・ BESTOW
572;旋;GYRATE
573;旗;FLAG
574;放;LET GO
575;激;VIOLENT ・ AROUSE
576;牧;PASTURE
577;位;RANK ・ POSITION
578;泣;CRY
579;笑;LAUGH
580;専;EXCLUSIVELY
581;恵;FAVOR
582;連;LINK ・ IN SUCCESSION
583;軍;ARMY
584;運;CARRY ・ MOVE ・ FORTUNE
585;蓮;LOTUS
586;隊;PARTY
587;呈;PRESENT
588;程;EXTENT ・ ESTABLISHED FORM
589;聖;HOLY ・ SAINT
590;丑;THE OX
591;紐;STRING
592;革;LEATHER ・ REFORM
593;靴;SHOES
594;鞄;SUITCASE
595;皮;SKIN
596;破;BREAK
597;彼;THIRD PERSON PRONOUN
598;波;WAVE
599;果;FRUIT ・ ACCOMPLISH
600;課;ASSIGNMENT ・ ASSIGN
601;巣;NEST
602;菓;CONFECTIONERY
603;茶;TEA
604;世;WORLD ・ AGE
605;葉;LEAF
606;棄;ABANDON
607;緑;GREEN
608;録;RECORD
609;剝;STRIP OFF
610;縁;RELATION ・ EDGE
611;介;MEDIATE
612;界;WORLD ・ BOUNDS
613;浮;FLOATING
614;将;GENERAL OFFICER
615;奨;ENCOURAGE
616;状;FORM ・ CONDITION ・ LETTER
617;病;ILLNESS
618;症;PATHOLOGICAL CONDITION
619;痛;PAIN ・ ACUTE
620;憶;REMEMBER
621;臆;FEEL TIMID
622;億;HUNDRED MILLION
623;視;LOOK AT
624;規;REGULATION
625;則;RULE
626;側;SIDE
627;測;MEASURE ・ CONJECTURE
628;考;THINK
629;老;OLD
630;孝;FILIAL PIETY
631;厚;THICK ・ KIND
632;教;TEACH ・ RELIGION
633;完;COMPLETE
634;院;INSTITUTION
635;奈;PHONETIC [NA]
636;宗;RELIGIOUS SECT
637;祭;FESTIVAL
638;際;VERGE ・ OCCASION
639;察;INSPECT ・ GUESS
640;祈;PRAY
641;祖;ANCESTOR
642;助;HELP
643;仲;INTERMEDIARY ・ PERSONAL RELATIONS
644;忠;LOYALTY
645;沖;OPEN SEA
646;保;PRESERVE
647;呆;DUMB
648;守;PROTECT
649;団;COLLECTIVE
650;対;OPPOSITE ・ OPPOSE
651;村;VILLAGE
652;才;TALENT ・ -YEARS OLD
653;財;WEALTH
654;材;TIMBER ・ MATERIAL
655;沈;SINK
656;枕;PILLOW
657;丈;STATURE ・ STOUT
658;杖;CANE
659;偉;GREAT
660;緯;LATITUDE
661;衛;GUARD
662;韓;(SOUTH) KOREA
663;違;DIFFER ・ VIOLATE
664;抱;HOLD
665;砲;HEAVY GUN
666;泡;BUBBLE
667;丹;CINNABAR RED
668;舟;SMALL BOAT
669;船;SHIP
670;舶;OCEANGOING SHIP
671;般;SORT
672;搬;CARRY
673;盤;DISK ・ BOARD
674;歯;TOOTH
675;冷;COLD
676;齢;AGE
677;少;LITTLE
678;砂;SAND
679;歩;WALK
680;渉;HAVE RELATIONS WITH
681;省;MINISTRY ・ SAVE ・ INTROSPECT
682;相;ASPECT ・ MUTUAL ・ MINISTER
683;想;CONCEIVE
684;称;APPELLATION
685;弥;PHONETIC [MI] ・ PHONETIC [YA]
686;互;RECIPROCAL
687;務;DUTY
688;柔;SOFT
689;軟;SOFT
690;軌;TRACK
691;軒;EAVES ・ COUNTER FOR HOUSES
692;軸;AXLE ・ AXIS
693;較;COMPARE
694;庫;STORAGE CHAMBER
695;蔵;STORE
696;倉;STOREHOUSE
697;創;CREATE
698;告;NOTIFY ・ ACCUSE
699;造;MAKE
700;衣;GARMENT
701;依;DEPEND ON
702;袋;BAG
703;褒;COMMEND
704;裏;REAR
705;表;EXPRESS ・ SURFACE ・ TABLE
706;現;ACTUAL ・ APPEAR
707;著;AUTHOR ・ CONSPICUOUS
708;制;SYSTEM ・ CONTROL
709;製;MANUFACTURE
710;初;FIRST
711;裸;NAKED
712;難;DIFFICULT ・ DISASTER ・ FAULT
713;准;JUNIOR
714;準;STANDARD ・ QUASI-
715;備;PROVIDE
716;死;DIE
717;葬;FUNERAL
718;列;COLUMN
719;烈;VEHEMENT
720;裂;SPLIT
721;例;EXAMPLE
722;刑;PENALTY
723;型;TYPE
724;研;GRIND ・ RESEARCH
725;厄;MISFORTUNE
726;危;DANGEROUS
727;範;MODEL
728;怨;HOLD A GRUDGE
729;苑;IMPERIAL GARDEN
730;宛;ADDRESS
731;碗;BOWL
732;腕;ARM ・ ABILITY
733;却;ELIMINATE
734;脚;LEG
735;犯;OFFENSE
736;狂;CRAZY
737;獄;PRISON
738;非;IS NOT
739;排;EXCLUDE ・ DISCHARGE
740;俳;HAIKU
741;罪;CRIME
742;罰;PUNISHMENT
743;伴;ACCOMPANY
744;判;JUDGE ・ PERSONAL SEAL
745;評;COMMENT
746;批;CRITICIZE
747;帥;COMMANDER IN CHIEF
748;師;MASTER
749;座;SEAT ・ SIT
750;坐;SIT
751;卒;GRADUATE ・ PRIVATE
752;率;RATE ・ LEAD
753;傘;UMBRELLA
